name,chinese,english
samplenew3_00000765,把我给抓回去那我就完了我肯定会受到责罚的,
samplenew3_00000501,这几年你知道我吃了多少苦承受了多大的压力知道吗,Do you know how much hardship and pressure I have endured in these years?
samplenew3_00000891,花有重开日,Flowers have a day to bloom again.
samplenew3_00000814,这不唯恐天下不乱吗,Isn't this just to make the world chaotic?
samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,"This mysterious adoptive father, I have never seen what he looks like."
samplenew3_00000665,我也应该用嘶哑的喉咙歌唱,I should also sing with a hoarse throat
samplenew3_00000668,我去你们这太不够意思了,You guys are not hospitable enough.
samplenew3_00000195,感动朕的人朕绝不轻饶,"The person who moves me, I will never forgive."
samplenew3_00000151,如果遇上了也没有办法,"If we meet, there's no way to handle it."
samplenew3_00000839,纯贵妃谋害契亚阁,The pure noble concubine plots to harm Qiya Pavilion.
samplenew3_00000579,徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公,"Xu Jiang has always had conflicts with my husband. He has been using despicable and low-level means to try to drive us out of the market, so he killed my husband."
samplenew3_00000294,这让我想起了聪明的衣袖,This reminds me of clever sleeves.
samplenew3_00000493,今后怎么样才是最重要的,What matters most in the future.
samplenew3_00000378,还有上个月在江州别扣他那批货,"There is also the batch of goods in Jiangzhou last month, don't deduct it from him."
samplenew3_00000548,会害了秋府上下所有的人,It will harm everyone in the Qiu Mansion.
samplenew3_00000425,只能让你眼睁睁看着他们受苦了,Just let you watch them suffer
samplenew3_00000513,我结下权贵之妻,I marry the wife of the powerful and influential.
samplenew3_00000084,别喝了好吗,Please don't drink anymore.
samplenew3_00000360,陈东拖了你们的后腿我们也感到很惭愧啊,Chen Dong dragging you guys down also makes us feel very ashamed.
samplenew3_00000723,哪像太子殿下您呢,How can anyone compare to Your Highness?
samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,They just need to commit the crime again to regain that kind of new excitement.
samplenew3_00000511,检方的量刑建议是死刑,The prosecutor's sentencing recommendation is death penalty.
samplenew3_00000261,小王爷何至于窝在寿春苟活,"Xiao Wangye, why do you have to hide in Shouchun and live in such a miserable way?"
samplenew3_00000432,哈洋郑一路那个商贸城,Ha Yang Zheng Yi Lu that commercial city
samplenew3_00000593,你不能随意出门,You cannot go out freely.
samplenew3_00000220,那不就是那电视剧那射雕英雄传里那梅超风,"Isn't that Mei Chaofeng from the TV series ""The Legend of the Condor Heroes""?"
samplenew3_00000500,要不然说林所长冰雪聪明的一点就透,"Otherwise, Director Lin is extremely clever."
samplenew3_00000605,说我捐的金额太少了,You say I donated too little.
samplenew3_00000447,这一看哪您这眼神就非常好,This look of yours is very good.
samplenew3_00000744,丁小河是个不会撒谎的人,Ding Xiahe is a person who does not lie.
samplenew3_00000340,对我天神朝堂也是如虎添翼之妙使啊,"To me, you are like a divine presence that adds wings to a tiger."
samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,"I will call me not Jiang Jiele's words, I will be careful, I will hit you and so on."
