input_text,output_text,question_id,chinese_text,emotion_word,percentage,confidence
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Curiosity""?",high,sample_00000153,白总监，你也关注这件事啊！,Curiosity,80.0,high
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Concern""?",high,sample_00000153,白总监，你也关注这件事啊！,Concern,70.0,high
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Expectation""?",low,sample_00000153,白总监，你也关注这件事啊！,Expectation,20.0,low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Urgency""?",low,sample_00000153,白总监，你也关注这件事啊！,Urgency,20.0,low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Curious""?",low,sample_00000153,白总监，你也关注这件事啊！,Curious,20.0,low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Concerned""?",low,sample_00000153,白总监，你也关注这件事啊！,Concerned,20.0,low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Frustration""?",low,sample_00000153,白总监，你也关注这件事啊！,Frustration,10.0,low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Inquiry""?",low,sample_00000153,白总监，你也关注这件事啊！,Inquiry,10.0,low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Surprise""?",low,sample_00000153,白总监，你也关注这件事啊！,Surprise,10.0,low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Expectant""?",low,sample_00000153,白总监，你也关注这件事啊！,Expectant,10.0,low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Imperative""?",low,sample_00000153,白总监，你也关注这件事啊！,Imperative,10.0,low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Importance""?",low,sample_00000153,白总监，你也关注这件事啊！,Importance,10.0,low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Frustration""?",high,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Frustration,100.0,high
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Irritation""?",medium,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Irritation,50.0,medium
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Annoyance""?",medium,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Annoyance,40.0,medium
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Skepticism""?",low,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Skepticism,30.0,low
