input,output
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Curiosity""?",high
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Concern""?",high
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Expectation""?",low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Urgency""?",low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Curious""?",low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Concerned""?",low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Frustration""?",low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Inquiry""?",low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Surprise""?",low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Expectant""?",low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Imperative""?",low
"If you are asked to analyze the emotion of this sentence: 白总监，你也关注这件事啊！. What is your confidence level that you will answer emotion word ""Importance""?",low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Irritation""?",medium
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Annoyance""?",medium
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Skepticism""?",low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Impatience""?",low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Defensiveness""?",low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Sarcasm""?",low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Anger""?",low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Curiosity""?",low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Exasperation""?",low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Hope""?",high
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Relief""?",medium
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Relieved""?",low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Hopeful""?",low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Curious""?",low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Determination""?",low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Expectation""?",low
