2025-07-14 22:28:38,993 - Q:samplenew3_00000765 | Run:1/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Resignation', 'Shame'] | Duration:11.13s
2025-07-14 22:28:50,672 - Q:samplenew3_00000765 | Run:2/10 | Emotions:['Fear', 'Anxiety', 'Defeat', 'Guilt', 'Helplessness'] | Duration:11.68s
2025-07-14 22:29:01,229 - Q:samplenew3_00000765 | Run:3/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Helplessness'] | Duration:10.56s
2025-07-14 22:29:12,097 - Q:samplenew3_00000765 | Run:4/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Defeat'] | Duration:10.87s
2025-07-14 22:29:23,004 - Q:samplenew3_00000765 | Run:5/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Defeat', 'Shame'] | Duration:10.91s
2025-07-14 22:29:34,494 - Q:samplenew3_00000765 | Run:6/10 | Emotions:['Fear', 'Anxiety', 'Panic', 'Desperation', 'Resignation'] | Duration:11.49s
2025-07-14 22:29:45,883 - Q:samplenew3_00000765 | Run:7/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Defeat', 'Regret'] | Duration:11.39s
2025-07-14 22:29:58,240 - Q:samplenew3_00000765 | Run:8/10 | Emotions:['Fear', 'Anxiety', 'Helplessness', 'Desperation', 'Resignation'] | Duration:12.36s
2025-07-14 22:30:08,679 - Q:samplenew3_00000765 | Run:9/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Defeat'] | Duration:10.44s
2025-07-14 22:30:20,382 - Q:samplenew3_00000765 | Run:10/10 | Emotions:['Fear', 'Anger', 'Helplessness', 'Anxiety'] | Duration:11.70s
2025-07-14 22:30:30,801 - Q:samplenew3_00000501 | Run:1/10 | Emotions:['Frustration', 'Exhaustion', 'Desperation', 'Anxiety'] | Duration:10.42s
2025-07-14 22:30:43,564 - Q:samplenew3_00000501 | Run:2/10 | Emotions:['Fatigue', 'Frustration', 'Overwhelm', 'Anxiety', 'Exhaustion'] | Duration:12.76s
2025-07-14 22:30:54,019 - Q:samplenew3_00000501 | Run:3/10 | Emotions:['Frustration', 'Anxiety', 'Exhaustion', 'Overwhelm'] | Duration:10.45s
2025-07-14 22:31:06,543 - Q:samplenew3_00000501 | Run:4/10 | Emotions:['Fatigue', 'Suffering', 'Stress', 'Anxiousness'] | Duration:12.52s
2025-07-14 22:31:16,842 - Q:samplenew3_00000501 | Run:5/10 | Emotions:['Frustration', 'Desperation', 'Anxiety', 'Exhaustion'] | Duration:10.30s
2025-07-14 22:31:29,315 - Q:samplenew3_00000501 | Run:6/10 | Emotions:['Frustration', 'Helplessness', 'Exhaustion', 'Suffering'] | Duration:12.47s
2025-07-14 22:31:39,709 - Q:samplenew3_00000501 | Run:7/10 | Emotions:['Frustration', 'Exhaustion', 'Resentment', 'Anxiety'] | Duration:10.39s
2025-07-14 22:31:51,292 - Q:samplenew3_00000501 | Run:8/10 | Emotions:['Frustration', 'Despair', 'Exhaustion', 'Anxiety', 'Resentment', 'Desperation'] | Duration:11.58s
2025-07-14 22:32:02,669 - Q:samplenew3_00000501 | Run:9/10 | Emotions:['Frustration', 'Exhaustion', 'Desperation', 'Helplessness', 'Sadness'] | Duration:11.38s
2025-07-14 22:32:14,730 - Q:samplenew3_00000501 | Run:10/10 | Emotions:['Frustration', 'Desperation', 'Anxiety', 'Sadness', 'Overwhelm', 'Exhaustion'] | Duration:12.06s
2025-07-14 22:32:22,545 - Q:samplenew3_00000891 | Run:1/10 | Emotions:['Hope', 'Joy', 'Expectation'] | Duration:7.81s
2025-07-14 22:32:30,823 - Q:samplenew3_00000891 | Run:2/10 | Emotions:['Hope', 'Joy', 'Expectation'] | Duration:8.28s
2025-07-14 22:32:39,646 - Q:samplenew3_00000891 | Run:3/10 | Emotions:['Hope', 'Expectation', 'Anticipation', 'Joy'] | Duration:8.82s
2025-07-14 22:32:47,495 - Q:samplenew3_00000891 | Run:4/10 | Emotions:['Hope', 'Joy', 'Expectation'] | Duration:7.85s
2025-07-14 22:32:55,915 - Q:samplenew3_00000891 | Run:5/10 | Emotions:['Hope', 'Expectation', 'Joy'] | Duration:8.42s
2025-07-14 22:33:05,572 - Q:samplenew3_00000891 | Run:6/10 | Emotions:['Hope', 'Longing', 'Expectation'] | Duration:9.66s
2025-07-14 22:33:13,819 - Q:samplenew3_00000891 | Run:7/10 | Emotions:['Hope', 'Serenity', 'Expectation'] | Duration:8.25s
2025-07-14 22:33:21,652 - Q:samplenew3_00000891 | Run:8/10 | Emotions:['Hope', 'Expectation', 'Joy'] | Duration:7.83s
2025-07-14 22:33:29,803 - Q:samplenew3_00000891 | Run:9/10 | Emotions:['Hope', 'Expectation', 'Joy'] | Duration:8.15s
2025-07-14 22:33:38,337 - Q:samplenew3_00000891 | Run:10/10 | Emotions:['Hope', 'Expectation', 'Joy'] | Duration:8.53s
2025-07-14 22:33:45,608 - Q:samplenew3_00000814 | Run:1/10 | Emotions:['Fear', 'Anxiety'] | Duration:7.27s
2025-07-14 22:33:52,930 - Q:samplenew3_00000814 | Run:2/10 | Emotions:['Fear', 'Anxiety'] | Duration:7.32s
2025-07-14 22:34:00,944 - Q:samplenew3_00000814 | Run:3/10 | Emotions:['Fear', 'Anxiety', 'Concern'] | Duration:8.01s
2025-07-14 22:34:09,592 - Q:samplenew3_00000814 | Run:4/10 | Emotions:['Fear', 'Anxiety', 'Alarm'] | Duration:8.65s
2025-07-14 22:34:17,303 - Q:samplenew3_00000814 | Run:5/10 | Emotions:['Anxiety', 'Concern'] | Duration:7.71s
2025-07-14 22:34:25,403 - Q:samplenew3_00000814 | Run:6/10 | Emotions:['Fear', 'Anxiety', 'Concern'] | Duration:8.10s
2025-07-14 22:34:33,336 - Q:samplenew3_00000814 | Run:7/10 | Emotions:['Fear', 'Anxiety', 'Concern'] | Duration:7.93s
2025-07-14 22:34:42,320 - Q:samplenew3_00000814 | Run:8/10 | Emotions:['Anxiety', 'Concern', 'Alarm'] | Duration:8.98s
2025-07-14 22:34:49,563 - Q:samplenew3_00000814 | Run:9/10 | Emotions:['Fear', 'Anxiety'] | Duration:7.24s
2025-07-14 22:34:59,160 - Q:samplenew3_00000814 | Run:10/10 | Emotions:['Frustrated', 'Anxious', 'Concerned'] | Duration:9.60s
2025-07-14 22:35:12,054 - Q:samplenew3_00000588 | Run:1/10 | Emotions:['Mysterious', 'Curiosity', 'Inquisitive', 'Amazement', 'Confusion', 'Surprise'] | Duration:12.89s
2025-07-14 22:35:24,767 - Q:samplenew3_00000588 | Run:2/10 | Emotions:['Mysterious', 'Surprised', 'Intrigued', 'Curious', 'Awed'] | Duration:12.71s
2025-07-14 22:35:34,242 - Q:samplenew3_00000588 | Run:3/10 | Emotions:['Curiosity', 'Surprise', 'Reverence', 'Nostalgia'] | Duration:9.47s
2025-07-14 22:35:47,137 - Q:samplenew3_00000588 | Run:4/10 | Emotions:['Curiosity', 'Mysteriousness', 'Respect', 'Nostalgia', 'Longing', 'Surprise'] | Duration:12.89s
2025-07-14 22:35:58,710 - Q:samplenew3_00000588 | Run:5/10 | Emotions:['Curiosity', 'Incredulity', 'Wonder', 'Surprise', 'Awe'] | Duration:11.57s
2025-07-14 22:36:09,426 - Q:samplenew3_00000588 | Run:6/10 | Emotions:['Curiosity', 'Intrigue', 'Mystery', 'Surprise'] | Duration:10.72s
2025-07-14 22:36:23,519 - Q:samplenew3_00000588 | Run:7/10 | Emotions:['Curiosity', 'Wonder', 'Awe', 'Incredulity', 'Surprise', 'Fascination'] | Duration:14.09s
2025-07-14 22:36:34,794 - Q:samplenew3_00000588 | Run:8/10 | Emotions:['Curiosity', 'Mystery', 'Awe', 'Intrigue'] | Duration:11.27s
2025-07-14 22:36:46,962 - Q:samplenew3_00000588 | Run:9/10 | Emotions:['Curiosity', 'Surprise', 'Mysteriousness', 'Respect', 'Nostalgia'] | Duration:12.17s
2025-07-14 22:37:00,212 - Q:samplenew3_00000588 | Run:10/10 | Emotions:['Mysterious', 'Curious', 'Nostalgic', 'Frustrated', 'Longing'] | Duration:13.25s
2025-07-14 22:37:12,556 - Q:samplenew3_00000665 | Run:1/10 | Emotions:['Resignation', 'Longing', 'Nostalgia', 'Melancholy'] | Duration:12.34s
2025-07-14 22:37:24,782 - Q:samplenew3_00000665 | Run:2/10 | Emotions:['Sadness', 'Longing', 'Melancholy', 'Resignation'] | Duration:12.23s
2025-07-14 22:37:37,202 - Q:samplenew3_00000665 | Run:3/10 | Emotions:['Resignation', 'Longing', 'Sorrow', 'Melancholy'] | Duration:12.42s
2025-07-14 22:37:47,647 - Q:samplenew3_00000665 | Run:4/10 | Emotions:['Resignation', 'Longing', 'Melancholy'] | Duration:10.44s
2025-07-14 22:37:58,793 - Q:samplenew3_00000665 | Run:5/10 | Emotions:['Desperation', 'Longing', 'Sorrow', 'Melancholy'] | Duration:11.15s
2025-07-14 22:38:10,351 - Q:samplenew3_00000665 | Run:6/10 | Emotions:['Longing', 'Melancholy', 'Sorrow', 'Yearning'] | Duration:11.56s
2025-07-14 22:38:19,407 - Q:samplenew3_00000665 | Run:7/10 | Emotions:['Sadness', 'Resignation', 'Longing'] | Duration:9.06s
2025-07-14 22:38:29,716 - Q:samplenew3_00000665 | Run:8/10 | Emotions:['Despondency', 'Longing', 'Melancholy'] | Duration:10.31s
2025-07-14 22:38:41,259 - Q:samplenew3_00000665 | Run:9/10 | Emotions:['Resignation', 'Melancholy', 'Longing', 'Sorrow'] | Duration:11.54s
2025-07-14 22:38:54,175 - Q:samplenew3_00000665 | Run:10/10 | Emotions:['Despair', 'Longing', 'Resignation', 'Sorrow'] | Duration:12.91s
2025-07-14 22:39:03,613 - Q:samplenew3_00000668 | Run:1/10 | Emotions:['Frustration', 'Disappointment', 'Anger'] | Duration:9.44s
2025-07-14 22:39:13,427 - Q:samplenew3_00000668 | Run:2/10 | Emotions:['Frustration', 'Disappointment', 'Impatience'] | Duration:9.81s
2025-07-14 22:39:23,897 - Q:samplenew3_00000668 | Run:3/10 | Emotions:['Frustration', 'Disappointment', 'Irritation'] | Duration:10.47s
2025-07-14 22:39:35,123 - Q:samplenew3_00000668 | Run:4/10 | Emotions:['Frustration', 'Disappointment', 'Futility', 'Anger'] | Duration:11.22s
2025-07-14 22:39:46,723 - Q:samplenew3_00000668 | Run:5/10 | Emotions:['Frustrated', 'Disappointed', 'Angry'] | Duration:11.60s
2025-07-14 22:39:57,037 - Q:samplenew3_00000668 | Run:6/10 | Emotions:['Frustration', 'Disappointment', 'Felt'] | Duration:10.31s
